tx_id,user_id,date,region,merchant,amount
100001,U1214,2024-01-01,South,Grocery,43.77
100002,U1262,2024-01-01,South,StoreA,5
100003,U1007,2024-01-01,South,RideShare,24.27
100004,U1355,2024-01-01,West,Grocery,118.06
100005,U1017,2024-01-01,East,StoreA,130.04
100006,U1079,2024-01-01,North,StoreB,53.28
100007,U1010,2024-01-01,West,CafeX,9.37
100008,U1095,2024-01-01,West,RideShare,88.39
100009,U1038,2024-01-01,North,StoreB,76.46
100010,U1286,2024-01-01,West,RideShare,36.42
100011,U1174,2024-01-01,East,Grocery,162.58
100012,U1256,2024-01-01,West,Electronics,21.47
100013,U1136,2024-01-01,West,StoreA,91.81
100014,U1251,2024-01-01,South,TravelCo,73.71
100015,U1284,2024-01-01,East,TravelCo,94.26
100016,U1177,2024-01-01,East,RideShare,66.93
100017,U1052,2024-01-01,West,TravelCo,125.38
100018,U1081,2024-01-01,South,Electronics,168.8
100019,U1083,2024-01-01,West,Pharmacy,134.86
100020,U1192,2024-01-01,South,CafeX,53.97
100021,U1287,2024-01-01,West,StoreA,152.0
100022,U1147,2024-01-01,East,OnlineShop,108.17
100023,U1017,2024-01-01,East,CafeX,43.24
100024,U1077,2024-01-01,West,StoreA,84.81
100025,U1129,2024-01-01,West,StoreA,116.34
100026,U1108,2024-01-01,East,CafeX,125.72
100027,U1188,2024-01-01,West,OnlineShop,27.64
100028,U1071,2024-01-01,East,CafeX,38.67
100029,U1393,2024-01-01,North,OnlineShop,61.04
100030,U1303,2024-01-01,South,Electronics,21.74
100031,U1131,2024-01-01,South,CafeX,35.97
100032,U1072,2024-01-01,North,CafeX,5
100033,U1012,2024-01-01,North,OnlineShop,14.76
100034,U1064,2024-01-01,East,Electronics,5
100035,U1252,2024-01-01,West,RideShare,123.11
100036,U1363,2024-01-01,North,Pharmacy,24.91
100037,U1381,2024-01-01,North,Electronics,610.6
100038,U1391,2024-01-01,South,OnlineShop,5
100039,U1356,2024-01-01,South,OnlineShop,5
100040,U1371,2024-01-01,East,Pharmacy,19.2
100041,U1281,2024-01-01,North,Pharmacy,5
100042,U1304,2024-01-01,East,OnlineShop,74.07
100043,U1358,2024-01-01,East,RideShare,10.36
100044,U1181,2024-01-01,West,StoreB,10.56
100045,U1038,2024-01-01,West,Pharmacy,29.36
100046,U1318,2024-01-01,West,Grocery,12.78
100047,U1264,2024-01-01,North,StoreA,5
