user_id,total_transactions,anomalous_transactions,max_anomaly_score,avg_anomaly_score,total_spend,avg_transaction_amount,max_transaction_amount,anomaly_rate_pct
U1227,203,66,0.9999999974643662,0.5651157825020271,18436.29,90.81916256157636,1355.93,32.51
U1252,208,68,0.9790601381532386,0.5730137219397166,18647.57,89.65177884615385,1395.19,32.69
U1373,170,15,0.9685674979651088,0.4626783956391471,17020.29,100.11935294117647,1960.64,8.82
U1173,167,54,0.964394956536615,0.5810771359853627,17633.37,105.58904191616766,896.41,32.34
U1371,143,9,0.9641589668252849,0.503556529726813,14710.08,102.86769230769231,1517.53,6.29
U1359,173,12,0.9514153955003097,0.4395580720129725,17250.57,99.7142774566474,1365.45,6.94
U1370,209,10,0.9461531617436374,0.4644481606880943,17507.09,83.76598086124402,1341.23,4.78
U1052,177,12,0.930360000771397,0.2264347859846237,15905.34,89.86067796610169,1334.0,6.78
U1230,140,2,0.9301896455850127,0.37360277024456884,12674.25,90.53035714285714,1852.08,1.43
U1332,193,9,0.9294142797583822,0.2636062522470382,15916.039999999999,82.46652849740933,1176.96,4.66
U1300,183,15,0.924623433117905,0.30677089420989145,12800.11,69.94595628415301,667.49,8.2
U1165,206,31,0.9227598030178027,0.5290844437512692,18462.27,89.62266990291262,940.23,15.05
U1138,150,19,0.9152920644926378,0.5117031999927449,15506.76,103.3784,1082.15,12.67
U1197,153,19,0.9119920749078095,0.3972168994442795,15028.27,98.22398692810458,1159.53,12.42
U1374,178,32,0.9117552997842981,0.4948499492204628,17492.02,98.26977528089888,1094.52,17.98
U1153,140,5,0.907538574829969,0.36671708307340695,12796.48,91.40342857142856,1505.85,3.57
U1016,179,6,0.9052201418278462,0.39657695134929727,17195.23,96.0627374301676,1266.23,3.35
U1139,141,1,0.9043712610049566,0.3149811865163679,11929.98,84.60978723404256,1518.76,0.71
U1217,154,6,0.8926837499575379,0.27273300687970836,14284.52,92.75662337662338,1601.53,3.9
U1284,156,15,0.8916975043065873,0.4075163039487226,15433.55,98.93301282051281,1352.49,9.62
U1059,171,7,0.8911751159284008,0.2639602932812032,16025.26,93.71497076023392,1371.41,4.09
U1093,162,11,0.8885052612173335,0.32075811219251904,15543.85,95.9496913580247,1237.88,6.79
U1239,143,3,0.8788576655187095,0.30289702408338465,11975.49,83.74468531468531,1385.69,2.1
U1043,195,15,0.8776880588730603,0.3856022705575058,17263.87,88.53266666666666,1165.97,7.69
U1223,177,1,0.8763480115343638,0.15605765579503908,15632.64,88.32,1709.84,0.56
U1007,148,2,0.8739245013802198,0.26056221669005863,12636.93,85.38466216216216,1773.8,1.35
U1348,203,16,0.8714601502905175,0.38931431904102615,16878.55,83.14556650246305,903.13,7.88
U1291,182,9,0.8704565189247098,0.24824350290235678,16211.460000000001,89.07395604395604,1448.89,4.95
U1075,152,4,0.8690369785813199,0.26014809002163475,13810.3,90.85723684210525,1506.73,2.63
U1306,167,7,0.8667076074897568,0.16271915091732922,14784.05,88.52724550898203,1303.81,4.19
U1118,148,2,0.8652792163932269,0.27957421232669716,11593.02,78.33121621621622,1643.29,1.35
U1132,175,10,0.8638281020593787,0.2117978055367772,15788.02,90.21725714285715,990.83,5.71
U1392,198,6,0.8636585444939365,0.3046427129360495,16382.84,82.74161616161616,970.53,3.03
U1180,178,12,0.863337072176797,0.23030391689554017,16037.369999999999,90.09758426966292,1320.49,6.74
U1391,188,3,0.8631468459836524,0.21196428884469734,15660.3,83.29946808510638,1531.6,1.6
U1353,147,7,0.863073701326624,0.29026370568085946,11660.53,79.32333333333334,1055.47,4.76
U1163,147,5,0.8625418748669826,0.2899138374392965,11701.5,79.60204081632654,1020.35,3.4
U1389,157,1,0.861083112592548,0.13763732609303314,13360.51,85.0987898089172,2077.79,0.64
U1338,153,5,0.8610322492946708,0.3297990926404762,14649.54,95.7486274509804,1088.75,3.27
U1382,161,5,0.8609131672479632,0.25161990133027534,15011.07,93.2364596273292,1491.63,3.11
U1343,168,6,0.860891757982449,0.2520610728748212,15831.29,94.23386904761905,1293.53,3.57
U1160,205,24,0.8600966109371826,0.4071076025907695,16786.41,81.8849268292683,855.65,11.71
U1172,186,5,0.8598211043446065,0.15661243077600226,15178.61,81.60543010752689,1311.57,2.69
U1384,162,7,0.8591509128745921,0.1331576430748352,12418.51,76.65746913580247,1058.45,4.32
U1222,172,7,0.8587687757678132,0.23930450638272938,16025.51,93.17156976744187,1257.69,4.07
U1184,191,4,0.8586203440602322,0.21068015664117273,15845.96,82.96314136125655,1249.58,2.09
U1215,156,7,0.8584845521460792,0.2710225827430024,14792.85,94.82596153846154,1245.74,4.49
